year,operator,route,ac_type,collision,registration,all_aboard,passengers_on_board,crew_aboard,passenger_fatalities,crew_fatalities,on_air_fatalities,ground,total_fatalities,countries,summary
1954,Northeast Airlines,"Boston - Concord - Laconia - Berlin, Nh",Douglas Dc-3,0,N17891,7,3,4,0,2,2,0,2,United States,The aircraft crashed during an ILS approach to Berlin. Premature and unauthorized instrument descent to an altitude that did not permit terrain clearance.
1954,Air Laos,Luang Prabang - Nam Tha,Douglas Dc-3,0,F-Beia,29,25,4,25,4,29,0,29,Laos,Crashed in the jungle about 30 km north of Luang Prabang on the company's first commercial flight.
1954,Ceskoslovenské Aerolinie,Prague - Brno - Bratislava,Douglas C-47A,0,Ok-Wdk,4,0,4,0,4,4,0,4,Slovakia,"Hit the ground while making an approach to land. It is believed that the Pitot tubes heater system was OFF at the time of the accident, which cause several instruments to display wrong parameters, such the altimeters and the speed indicators."
1954,Linee Aeree Italiane,Rome - New York City,Douglas Dc-6B,0,I-Line,32,22,10,16,10,26,0,26,United States,"The plane crashed into approach lights of the runway during the fourth landing attempt at Idlewild Airport, sinking into Jamaica  Bay. An erratic approach which resulted in a descent to an altitude too low to avoid striking the pier. A contributing factor was pilot fatigue due to the particular and difficult circumstances including two and one-half hours in a holding pattern."
1954,Linea Aeropostal Venezolana,Bolivar - Tumeremo,Douglas C-47A,0,Yv-C-Amp,2,0,2,0,2,2,0,2,Venezuela,The cargo plane crashed into a mountain while en route.
1954,Johnson Flying Service,Newark - Pittsburgh - Colorado Springs,Douglas Dc-3,0,N24320,28,23,5,9,1,10,0,10,United States,Ditched into the Monongahela River after running out of fuel. Inadequate flight planning. Contributing factors were inadequate crew supervision and training.
1954,British Overseas Airways,London - Prestwick - Shannon - Gander - New York,Boeing B377-10-28 Stratocruiser,0,G-Alsa,36,25,11,24,4,28,0,28,Scotland,"Crashed short of the runway, landing hard. Pilot error. Errors of judgement on the part of the captain in starting his final approach to land at too steep an angle and flaring out too late and too severely with the result that the aircraft sank and hit the ground short of the runway."
1955,Trans World Airlines / Castleton Inc.,Cincinnati - Cleveland,Martin 202A / Dc-3,1,N93211/N999B,15,10,5,10,5,15,0,15,United States,"Midair collision at 700-900 feet. The DC-3 entered the airport's control space without clearance or communication with the tower. Thirteen killed on the Martin, two crew on the DC-3."
1955,Ontario Hydro,Windsor - Toronto,Grumman G-73 Mallard,0,Cf-Geu,5,3,2,1,0,1,0,1,Canada,"The aircraft, which had no wing anti-ice capability, flew into unexpected heavy freezing rain and ice, 4 inches thick formed. Needing an emergency landing at London, the pilot requested lights on all runways and approaches be turned on. This was not normally done as it might confuse pilots. This overloaded the lighting circuit and blew a fuse. The plane crash-landed short of the runway and the pilot said it became so hard to control the aircraft that the absence of lights may not have mattered. One passenger died of his injuries almost 30 hours later."
1955,United Air Lines,Newark - Des Moines - Lincoln,Convair Cv-340,0,N73154,39,36,3,0,0,0,0,0,United States,Almost complete loss of elevator control and severe vibration was experienced shortly after taking off from Des Moines. The plane when into a steep climb and almost stalled but the captain applied full power and went into a steep dive. The captain then reduced power and headed for open country where the aircraft safely made an emergency wheels up  landing in a corn field.  A series of omissions made by maintenance personnel during a scheduled inspection which resulted in the release of the aircraft in an unairworthy condition and an almost complete loss of elevator control during flight.
1955,Interamericana De Aviacion,Bogota - Villavicencio - Mitu - La Pedrera,Consolidated Pby-5 Catalina,0,Hk-1000E,5,4,1,4,1,5,0,5,Colombia,The cargo plane crashed into the Caqueta river while attempting to land.
1955,Indian Airlines,Nagpur - Delhi,Douglas Dc-3,0,Vt-Cvb,10,6,4,6,4,10,0,10,India,"Crashed into a field shortly after takeoff. The aircraft crashed as a result of slipping into the ground in the course of a poorly executed steep turn to port, carried out at night at a low altitude."
1955,West African Airways,Enugu - Calabar,Bristol 170 Freighter 21E,0,Vr-Nad,13,9,4,9,4,13,0,13,Nigeria,Crashed shortly after taking off after a wing failed. A design flaw in the wing led to fatigue cracks and wing failure.
1955,Sabena,Brussels - Rome,Douglas Dc-6,0,Oo-Sdb,29,21,8,21,8,29,0,29,Italy,Crashed into a mountain while on approach. Navigational error due to failure to use radio equipment.
1955,Trans World Airlines,Albuquerque - Sante Fe,Martin 404,0,N40416,16,13,3,13,3,16,0,16,United States,"After taking off from Albuquerque, the aircraft flew a path directly towards Sandia Mountain and crashed into it.  While initially blaming the pilots of intentionally flying the plane into the mountain, five years later, the CAB changed the probable cause to ""deviation from course for reasons unknown"" and admitted there may have been a problem with the flux gauge compass."
1955,Central African Airways,Salisbury - Lusaka,Douglas Dc-3,0,Vp-Yko,26,21,5,0,1,1,0,1,Zimbabwe,The pilot began taking off and retracted the landing gear when smoke was observed in the cockpit. He attempted to belly land the plane. The propellers separated and penetrated the fuselage killing the fight engineer. The presence of smoke in the flight crew compartment in sufficient quantity to make the captain apprehensive of fire and to cause him to land the aircraft immediately with the landing gear retracted. A fractured rubber hose on the port engine connecting the rocker box of one of the lower cylinders to the collector box caused smoke to enter the wheel well and into the crew compartment.
1955,Mexicana,Puerto Vallarta - Talpa De Allende - Mascota - Guadalajara,Douglas Dc-3,0,Xa-Dik,26,23,3,23,3,26,0,26,Mexico,the airplane hit the slope of the Cerro del Cabre located about 20 km northwest of the airport.
1955,Avianca,Condoto - Cali,Douglas C-47A,0,Hk-328,8,5,3,5,3,8,0,8,Colombia,The cargo plane crashed with a gold and platinum shipment aboard. Wreckage found one month later.
1955,American Airlines,Newark - Chicago - St. Louis - Springfield - Tulsa,Convair Cv-240-0,0,N94234,35,32,3,11,2,13,0,13,United States,The plane crashed 1.25 miles short of the runway while attempting to land. Crew's inattention to flight instruments during approach. Pilot sensory illusion which gave a  false impression of the aircraft's altitude.
1955,Military - U.S. Navy,Tokyo - Hickam - Travis,Douglas R6D-1 (C-118B),0,131612,66,57,9,57,9,66,0,66,United States,"The aircraft returned to Hickam Airfield because of inoperative high-frequency radio transmitters. As the plane was descending to land, it crashed into Pali Kea peak, 15 miles northwest of Honolulu. Navigational error by the crew brought the plane 8 miles north of its intended position."
1955,Pan American World Airways,Portland - Honolulu,Boeing 377 Stratocruiser 10-26,0,N1032V,23,15,8,2,2,4,0,4,United States,"The plane ditched 35 miles off the Oregon coast after the No. 3 engine and propeller broke away causing severe control difficulties. The plane sank after 20 minutes. Loss of control and inability to maintain altitude following failure of the No. 3 propeller which resulted in wrenching free the No. 3 power  package. The aircraft was named ""Clipper United States."""
1955,Aaxico Airlines,"Mobile, Al - Macon, Ga",Curtiss C-46A,0,N51424,2,0,2,0,2,2,0,2,United States,The cargo plane flew into a thunderstorm and crashed into the sea  in the Gulf of Mexico while en route.
1955,United Air Lines,Training,Douglas Dc-6,0,N37512,3,0,3,0,3,3,0,3,United States,"Suddenly dove into the ground. Unintentional movement of no.4 throttle into the reverse range just before breaking ground, with the other three engines operating at high power output, which resulted in the aircraft very quickly becoming uncontrollable once airborne."
1955,Air India,Hong Kong - Jakarta,Lockheed 749A Constellation,0,Vt-Dep,19,11,8,11,8,19,0,19,Malaysia,"An explosion occurred at 18,000 feet while over the China Sea. A resulting fire which started on the starboard wing soon spread and eventually led to total hydraulic and electrical failure. Smoke filled the cockpit and the plane crashed. An act of political terrorism.  An aircraft worker placed an incendiary device in the starboard wheel wella by an airport worker. The plane was named ""Kashmir Princess."""
1955,Union Des Transportes Aeriens,Yaounde - Douala,De Havilland Dh-114 Heron 1B,0,F-Bgoi,14,10,4,9,3,12,0,12,Cameroon,The aircraft hit the slope of Mt Koupé located about 80 km north of Douala. Wreckage found after 10 months.
1955,East African Airways,Dar-Es-Salaam - Nairobi,Douglas Dc-3,0,Vp-Kkh,20,16,4,16,4,20,0,20,Kenya,Crashed after reporting being over Jipe Lake on the slopes of Mt. Kilimanjaro. Failure to follow prescribed route and procedures.
1955,Linea Aeropostal Venezolana,Caracas - Barcelona,Douglas C-47-Dl,0,Yv-C-Alu,16,13,3,4,0,4,0,4,Venezuela,Ditched into the sea a few km from shore.
1955,Union Aéromaritime De Transport,Douala - Fort Lamy,Douglas C-54A,0,F-Bfvt,3,0,3,0,3,3,0,3,Cameroon,The cargo plane crashed while attempting to land.
1955,Panair Do Brasil,Sao Paulo - Asuncion,Lockheed 049-46-21 Constellation,0,Pp-Pdj,24,14,10,9,7,16,0,16,Paraguay,Crashed on final approach. Pilot fatigue. The pilot did not follow the recommended procedure for instrument final approach and he descended below the height prescribed in the final approach chart.
1955,Tigres Voladores,Leon - Mexico City,Curtiss C-46,0,Xa-Lid,39,36,3,18,0,18,0,18,Mexico,Lost an engine on takeoff and crashed into trees and caught fire.
1955,Lineas Areas Unidas,Acapulco - Oaxaca,Douglas Dc-2-243,0,Xa-Dob,22,19,3,19,3,22,0,22,Mexico,Crashed in a mountainous area located 39 km from the airport in the Zimathan district while en route.
1955,Braniff Airlines,"Kansas City, Mo - Chicago",Convair Cv-340-32,0,N3422,43,40,3,20,2,22,0,22,United States,"While on instrument approach, the aircraft hit a sign and crashed through the airport boundry fence.  Momentary disorientation caused by the loss of visual reference during the final visual phase of the approach resulting in an increased rate of descent at an altitude too low to effect recovery."
1955,El Al,London - Paris - Vienna - Tel Aviv,Lockheed 049 Constellation,0,4X-Akc,58,51,7,51,7,58,0,58,Bulgaria,"On a flight from London, England to Tel Aviv, the aircraft drifted over Bulgarian airspace and was shot down by Bulgarian jet fighters. A navigational error that probably originated with an incorrect radio compass indication due to the effects of thunderstorm activity in the area."
1955,American Airlines,"Springfield, Il - St. Louis, Mo",Convair Cv-240-0,0,N94221,30,27,3,27,3,30,0,30,United States,The aircraft attempted an emergency landing at a military airstrip after fire broke out in the No. 2 engine. The right wing separated from the aircraft and crashed 1.5 miles from the runway. Installation of an unairworthy cylinder in the No. 2 engine which resulted in an uncontrollable fire and loss of the right wing.
1955,Aeroflot,Starllingrad - Moscow.,Aeroflot,0,L5057,25,20,5,20,5,25,0,25,Russia,The right engine caught on fire due to a fuel leak leading to distruction of the plane in the air.
1955,Military - U.S. Air Force / Military - U.S. Air Force,Dreux - Stuttgart,Fairchild C119G / Fairchild C119G,1,53-3222/53-7841,67,57,10,57,10,67,0,67,Germany,"Participating in a U.S. military exercise, the two planes collided in midair while in formation after one of the planes pulled out of formation because of engine trouble. The accident occurred at an altitude of 4,000 feet.  Forty-six aboard 7841 and 20 aboard 3222 were killed."
1955,Cruzeiro,Rio De Janeiro - Caravelas,Douglas Dc-3,0,Pp-Cby,13,9,4,9,4,13,0,13,Brazil,"Hit Caparao Mountain while en route, 1 hour after taking off.  Failure to follow flight plan."
1955,Union Of Burma Airways,Meiktila - Lanywa,Douglas Dc-3,0,Xy-Acq,12,9,3,9,3,12,0,12,Myanmar,Flew into Mount Popa located about 45 km east of Lanywa.
1955,Currey Air Transport,Burbank - Oakland,Douglas Dc-3,0,N74663,33,30,3,0,2,2,1,3,United States,"The plane returned after failure of the No. 2 engine, stalled and crashed 200 yards short of the runway  into parked aircraft and a hanger.  The captain's commitment to a landing without radio or visual confirmation of his runway alignment following engine failure immediately after takeoff."
1955,Societe France Hydro,Lac Lérè - Douala,Latecoere 631 (Flying Boat),0,F-Bdre,16,8,8,8,8,16,0,16,Cameroon,Crashed into the Cameroon mountains after the wing separated due to severe turbulence.
1955,Pacific Western Airlines,Edmonton - Yellowknife,Bristol 170 Freighter 31,0,Cf-Gbt,6,4,2,1,1,2,0,2,Canada,"For reasons undetermined, the right engine failed and as a result of being overloaded, the aircraft did not maintain altitude on one engine and struck the ground with the right wingtip. A possible contributing factor was the failure of the co-pilot's vacuum-driven gyro instruments, without his knowledge."
1955,British Overseas Airways,Rome - Tripoli,Canadair C-4 Argonaut,0,G-Alhl,47,40,7,13,2,15,0,15,Libya,"Crash landed in a sandstorm on the fourth landing attempt.  The plane came in too low, struck a line of trees and crashed 1,200 yards short of the runway.  Pilot error.  In an error in judgement, the captain who allowed his desire to keep the runway lights in view failed to make adequate reference to his flight instruments."
1955,Flying Tiger Line,Wake Island - Honolulu,Douglas C-54A,0,N90433,5,0,5,0,3,3,0,3,United States,The cargo plane lost 3 engines and ditched into the Pacific Ocean. The loss of power in three engines due to incorrect fuel system management and faulty restarting methods which resulted in the ditching of the aircraft.
1955,Associated Airways,Shepard Bay -Yellowknife,Avro 685 York C-1,0,Cf-Hmv,2,0,2,0,1,1,0,1,Canada,The cargo plane ditched into the Thoa river. The pilot radioed he was going down and was ditching into a lake. Fuel exhaustion.
1955,Faucett,Lima - Cuzco,Douglas C54A,0,Ob-Paz-228,35,31,4,15,4,19,0,19,Peru,Crashed in adjacent mountains while attempting an emergency landing following an engine fire.
1955,United Air Lines,Denver - Salt Lake City - San Francisco,Douglas Dc-4,0,N30062,66,63,3,63,3,66,0,66,United States,"The aircraft crashed into cloud covered Medicine Bow Peak while en route. The plane failed to clear the 12,013 ft. peak by 75 feet. The pilot deviated from course for reasons unknown.  Possible incapacitation of crew by carbon monoxide emanating from a faulty cabin heater, though never proven."
1955,Jat Yugoslav Airlines,Beograd - Wien,Convair Cv-340-58,0,Yu-Adc,29,25,4,6,1,7,0,7,Austria,Crashed into Kahlenberg Hill while on approach to Wien.  The aircraft flew for a longer time on the outbound track and descended below the prescribed minimum altitutde. Pilot error.
1955,United Air Lines,Denver - Portland,Douglas Dc-6B,0,N37559,44,39,5,39,5,44,0,44,United States,"The aircraft crashed 11 minutes after taking off from Denver Stapleton Airport, 8 miles east of Longmont.  Detonation of a dynamite bomb in the No. 4 cargo hold, placed by John (Jack) Gilbert Graham in his mother's luggage in order to collect $37,500 in insurance.  A delayed flight caused the bomb to detonate over flat land rather than the mountains as planned.  Graham never showed any remorse for his actions and refused to file any appeals. He was executed for the crime on 1/11/56."
1955,Military - U.S. Air Force,Burbank - Groom Dry Lake,Douglas Mc-54M,0,44-9068,14,10,4,10,4,14,0,14,United States,Crashed into the  peak of Mount Charleston 30 miles WNW of Las Vegas during a storm.
1955,Peninsular,Seattle - Newark,Douglas C-54,0,N88852,74,70,4,27,1,28,0,28,United States,Crashed on takeoff. In-flight prop failure.  Maintenance error.  The excessively high drag resulting from the improperly indexed propeller blades and inability to feather.
1955,Military - Us Air Force,Iwo Jima Afb - Tachikawa Afb,Douglas C124-Dl Globemaster Ii,0,51-0149,11,2,9,2,8,10,0,10,Japan,The military transport crashed seconds after taking off from Central Airport in Iwo Jima. Malfunction of the number one engine propeller that went into reverse after an electrical short-circuit occurred.
1955,Cruzeiro,Belem - Barreiras,Douglas Dc-3,0,Pp-Ccc,6,4,2,4,2,6,0,6,Brazil,"Shortly after taking off, the No.1 engine lost power. The crew shut off the hydraulic pump which caused the landing gear to stop retracting halfway. The resulting drag, caused the aircraft to lose altitude. The left wing struck a tree and the plane crashed and burned. Failure of the front bearing of the propeller shaft leading to disconnection of the reduction gear and left propeller and causing a sudden failure of the left engine."
1955,Aeroflot,Yuzhno-Sakhalinsk - Khabarovsk,Li-2,0,Cccp-L4993,21,16,5,16,5,21,0,21,Russia,Flew into a mountain wave in the Sikhote-Alin Mountain Range while en route.
1955,Riddle Airlines,New York - Miami,Curtiss C-46A,0,N9904F,2,0,2,0,2,2,0,2,United States,The cargo plane was carrying mail . An in-flight structural failure resulting from a violent pitch-down induced by the erratic action of nonconforming elevator tab controls.
1955,Eastern Air Lines,Miami - Jacksonville - Boston,Lockheed 749C-79-12 Constellation,0,N112A,17,12,5,12,5,17,0,17,United States,The plane crashed while on approach and during an attempted go-around.  The crew allowed the aircraft to deviate to the left of course and descent below the glide path for reasons unknown.  The crew encountered local fog and restricted visibility during the final approach of an ILS approach and missed approach procedure came too late to prevent the aircraft from descending into the ground.
1956,Ansett Ana,Melbourne - Hobart,Douglas C-47,0,Vh-Bza,2,0,2,0,1,1,0,1,Australia,"The cargo plane flew into the water upon approach. The pilot relied on inadequate external visual reference for determining the altitude and paid insufficient attention to the instruments. The irregular approach procedure carried out by the pilot in command deprived him of the opportunity to monitor the safe approach to the aerodrome through the correlation of time, height and position."
1956,Quebecair,Knob Lake - Oreway,Douglas Dc-3,0,Cf-Gvz,18,15,3,1,3,4,0,4,Canada,Loss of the No. 2 engine necessitated a forced crash landing near a railway station.  Failure to maintain height at night due to the loss of the starboard engine in icing conditions.  The aircraft was also overloaded.
1956,Ceskoslovenske Aerolinie,Bratislava - Kosice,Douglas Dc-3,0,Ok-Wdz,26,23,3,19,3,22,0,22,Czechoslovakia,"After being diverted, while cruising in bad weather conditions, the aircraft hit trees and crashed in a snow covered and wooded area located in the Tatra Mountain Range."
1956,Air France,Nice - Marseille - Lyon - Paris,Douglas C-47,0,F-Bcyk,3,0,3,0,3,3,0,3,France,"While in heavy fog and on final approach, the airplane was too low and hit telephone lines before crashing in a field  about 2 km short of the runway."
1956,Maritime Central Airways,"Frobisher Bay, Baffin Island - Fort Chimo, Quebec",Bristol 170 Freighter 31,0,Cf-Fzu,2,0,2,0,2,2,0,2,Canada,Loss of control due to improperly secured heavy cargo breaking loose and sliding to the rear of the aircraft during takeoff.
1956,Spartan Air Services,"Frobisher Bay, Baffin Island - Fort Chimo, Quebec",Douglas C-47-Dl,0,Cf-Bzh,3,0,3,0,2,2,0,2,Canada,Crashed on a ferrying flight. Soldier-of-fortune Harold (Whitey) Dahl killed.
1956,Military - U.S. Marine Corps,El Toro Mas - Alameda Nas,Douglas R5D2,0,39116,40,35,5,35,5,40,0,40,United States,Crashed into Sunol Ridge after circling for half-an-hour while attempting to land at Alameda Naval Air Station.  Non adherence of the crew to the holding pattern and departure from the radio beacon and descent in a unprescribed manner.
1956,Scottish Airlines,Luqa -Stansted,Avro 685 York C-1,0,G-Ansy,50,45,5,45,5,50,0,50,Malta,The aircraft took off from Luqua Airport in Malta bound for England when smoke was seen coming from the left engine.  Shortly thereafter it banked to the left and plunged almost vertically into cliffs.  Engine failure due to cracks in the boost enrichment capsule and the failure of the captain to stop the leftward swing of the aircraft using the rudder. Failure to correct the nose high attitude and failure to feather the No. 1 engine.
1956,Transport Aerien Intercontinentaux (France),Karachi - Bahrain - Cairo - Paris,Douglas Dc-6B,0,F-Bgod,64,55,9,49,3,52,0,52,Egypt,The flight crashed while on approach 18 miles SE of Cairo.  Pilot's inexperience in ILS approaches.  Improper approach.  Crew error. Crew fatigue.
1956,Syrian Airways,Aleppo - Damascus,Douglas Dc-3,0,Yk-Aae,19,16,3,16,3,19,0,19,Syria,Crashed shortly after taking off 15 miles from Aleppo.  Double engine failure during a thunderstorm.
1956,Pakistan International Airlines,Gilgit  - Islamabad,Douglas C-47B,0,Ap-Acz,3,0,3,0,3,3,0,3,Pakistan,Struck  Lash Golath Mountain while en route. Pilot error while he was attempting a flight beyond his ability or experience.
1956,Indian Airlines,Gaughail - Tezpur,Douglas Dc-3,0,Vt-Cgn,21,18,3,2,0,2,0,2,India,An improper flare on landing caused the aircraft to bounce causing the right wing to strike the runway after which the plane veered off the runway.
1956,Starways,Liverpool - Glasgow,Douglas C-47B,0,G-Amrb,3,0,3,0,1,1,0,1,United Kingdom,During an instrument approach at night the pilot of the cargo plane permitted the aircraft to descend below the approved safety height and this resulted in the aircraft striking the ground.
1956,National Air Operators,Asansol - Bagdogra,Douglas C-47A,0,Vt-Dcm,3,0,3,0,3,3,0,3,India,The cargo plane crashed en route. A downdraft which forced down the fully loaded aircraft to the ground when it was flying under exceptionally severe weather conditions below 1000 ft. and possibly at a few hundred feet above the terrain.
1956,Military - Royal Thai Air Force,Korat Afb - Bangkok,Douglas C-47A,0,L2-14/96,19,17,2,17,2,19,0,19,Thailand,Crashed shortly after taking off.
1956,Trans World Airlines,Pittsburgh - Newark,Martin 404,0,N40403,36,33,3,21,1,22,0,22,United States,"The aircraft yawed to the left and crashed shortly after takeoff after a fire warning occurred on the No.1 engine. The cause of the fire warning was a failed exhaust connector clamp in the left engine, which triggered an adjacent fire detecting unit. A windmilling left propeller, the extended landing gear, and the takeoff flaps produced sufficient drag to make the airplane lose altitude and strike the ground. An uncoordinated emergency action in a very short time available to the crew, which produced an aircraft configuration with insurmountable drag."
1956,Northwest Orient Airlines,Seattle - Portland,Boeing 377 Stratocruiser 10-30,0,N74608,38,32,6,4,1,5,0,5,United States,The aircraft experienced extreme buffeting after taking off from Seattle. A decision was made to divert to McChord AFB but the plane continued to loose altitude and had to be ditched in Puget Sound 4.7 nautical miles southwest of Seattle. The plane sank within 15 minutes. The incorrect analysis of control difficulty which occurred on retraction of the wing flaps as a result of the flight engineer's failure to close the engine cowl flaps; the analysis having been made under conditions of urgency and within an extremely short period of time available for decision.
1956,Cordova Airlines,Anchorage - Seward,Aero Commander  520,0,B5386N,6,5,1,5,1,6,0,6,United States,Crashed en route from Anchorage to Seward. The pilot's action in continuing flight during instrument weather conditions on a planned VFR flight through a mountain pass and striking a mountainside while attempting to climb out.
1956,Panair Do Brasil,Belem - Parintins,Consolidated Pby-5A Catalina,0,Pp-Pdb,12,7,5,1,2,3,0,3,Brazil,The plane struck an object in the water while landing and broke up.
1956,Scottish Airlines,Stansted - Luqa - Habbaniya,Avro 685 York C-1,0,G-Amul,54,49,5,2,0,2,0,2,United Kingdom,The aircraft made a sudden turn to the right while talking off from Stansted. Overcorrection by the pilot in command which caused the aircraft to veer to the right.
1956,Indian Airlines,Shimla - Kathmandu,Douglas Dc-3,0,Vt-Dba,31,28,3,14,0,14,1,15,Nepal,"The aircraft touched down at an excessive speed, bounced and stalled. Go-around power was applied, but the remaining runway length was insufficient and the plane overran the end of the runway and went down a steep slope and crashed."
1956,Military - Royal Canadian Air Force,Ottawa - Ottawa,Cf-100 Mark 4B,0,18367,2,0,2,0,2,2,13,15,Canada,"The CF-100 was from the Canadian Air Defense Command which was scrambled to investigate an unidentified transport plane flying in the area. It was suspected the crew's oxygen system malfunctioned on the fighter and the jet crashed into a convent operated by the Grey Nuns of the Cross, at over 680 miles an hour, destroying the three story, 70 room convent."
1956,Aviateca,Guatemala City - La Tinta,Douglas C-47-Dl (Dc-3),0,Tg-Aha,31,28,3,27,3,30,0,30,Guatemala,"The plane struck trees on a mountainside and crashed at an altitude of 8,500 ft. The sole survivor, Roberto Obando, was found and rescued on May 30."
1956,Linea Aeropostal Venezolana,New York City - Caracas,Lockheed 1049E-55 Super Constellation,0,Yv-C-Ams,74,64,10,64,10,74,0,74,United States,"About 1.5 hours after taking off from New York, the pilot radioed the No. 2 propeller was overspeeding and could not be feathered. Upon trying to return to New York the plane caught fire and crashed into the Atlantic Ocean. Vibration resulting from the uncontrollable propeller caused one of the inside wing attachments to loosen or break somewhere between the fuel tank and the dump chute causing an uncontrollable fire."
1956,British Overseas Airways,Lagos - Kano - Tripoli - London,Canadair C-4 Argonaut,0,G-Alhe,45,38,7,29,3,32,0,32,Nigeria,"Loss of height and airspeed caused by the aircraft encountering an unpredictable thunderstorm cell which gave rise to a sudden reversal of wind direction, heavy rain, and possible downdraft conditions."
1956,United Air Lines / Trans World Airlines,Los Angeles - Chicago / Los Angeles - Kansas City,Douglas Dc-7 / Lockheed S Constellation,1,N6902C/N6324C,128,117,11,117,11,128,0,128,United States,"The TWA aircraft flying from Los Angeles to Kansas City and the United Aircraft flying from Los Angeles to Chicago collided over the Grand Canyon. Both planes were traveling about 320 mph. Both aircraft were flying in uncontrolled airspace. All  fifty-eight on the DC-7 and seventy on the Constellation killed. The pilots did not see each other in time to avoid the collision. It is not possible to determine why the pilots did not see each other, but the evidence suggests that it resulted from any one or a combination of the following factors: 1) Intervening clouds reducing time for visual separation 2) Visual limitations due to cockpit visibility 3) Preoccupation with normal cockpit duties. This is the accident that led to the adoption of the Air Route Traffic Centers that track planes across the country and the formation of the FAA."
1956,Trans Canada Air Lines,Chicago - Montreal,Vickers Viscount,0,Cf-Tgr,35,31,4,1,0,1,0,1,United States,"While on a flight from Chicago to Montreal, cruising at FL190,  the crew was unable to feather an overspeeding No. 4 engine. Soon after the No. 4 propeller broke and one blade disabled the No. 3 engine and  penetrated the fuselage killing a passenger. An emergency landing was successfully made at Windsor, Ontario."
1956,Military - U.S. Air Force,Mcguire Afb - Harmon Afb,Douglas C-118A,0,53-3301A,66,56,10,38,8,46,0,46,United States,Crashed into a wooded area 2 minutes after taking off from McGuire Air Force Base. There was thunderstorm activity at the time. Microburst windshear.
1956,Swissair,Gander - Shannon,Convair Cv-440-11,0,Hb-Imd,4,0,4,0,4,4,0,4,Ireland,"The plane was on delivery from San Diego to Zürich via New York, Gander and Shannon. The crew broke off their GCA runway 23 approach after establishing visual reference, and turned for a runway 05 approach. The plane banked sharply, dropped and crashed. Error in judgement by pilot in executing  an abnormally steep turn onto final approach."
1956,Aerolineas Argentinas,Buenos Aires - Rio Cuarto,Douglas Dc-3,0,Lv-Acd,18,14,4,14,4,18,0,18,Argentina,"Crashed while making an approach to Rio Cuarto. The decision of the pilot to descend en route, without justifiable reason, below the minimum altitude prescribed for a night flight and in weather conditions which made it his duty to follow IFR procedure."
1956,Union Of Burma Airways,Rangoon - Mandalay,Douglas Dc-3,0,Xy-Adc,22,18,4,9,3,12,0,12,Myanmar,Struck Mt Pindaya near Thazi .
1956,Canadian Pacific Air Lines,Vancouver - Cold Bay - Tokyo - Hong Kong,Douglas Dc-6B,0,Cf-Cup,22,14,8,11,4,15,0,15,United States,The aircraft crashed after a missed approach. The crew executing full retraction of flaps without increasing power or changing attitude resulting in loss of lift after the missed approach.
1956,Jordan International Airlines,Amman - Kuwait,Curtiss C-46A-45-Cu,0,Jy-Abv,57,53,4,1,0,1,0,1,Jordan,"The aircraft had to return to Amman for an emergency landing. The landing took place with the gear retracted. The plane bounced, went up a hill and down the other side and burst into flames."
1956,Continental Airlines,Tulsa - Bartlesville,Douglas Dc-3 / Cessna 170B,1,N33315 / N8143A,18,14,4,0,0,0,0,0,United States,Midair collision. Both planes landed safely. Failure of both aircraft to observe and avoid the other aircraft.
1956,Alaska Airlines,Unalakleet And Nome,Stinson At-19,0,N 79069,5,4,1,4,1,5,0,5,United States,Crashed while en route. The action of the pilot in flying into conditions of darkness and adverse weather in which he could not maintain adequate control of the aircraft.
1956,Military - U.S. Navy,Raf Lakenheath - Mcguire Afb,Douglas C188-B,0,1311588,59,50,9,50,9,59,0,59,United Kingdom,The plane disappeared over the Atlantic while on a flight from Royal Air Force Base in England to McGuire Air Force Base in New Jersey. Cause unknown.
1956,Pan American World Airways,Honolulu - San Francisco,Boeing  377 Stratocruiser,0,N90943,31,24,7,0,0,0,0,0,the Pacific Ocean,"The aircraft ditched into the Pacific Ocean while on a flight from San Francisco to Honolulu after losing the No. 1 and then the No. 4 engine. The aircraft circled around the U.S. Coast Guard cutter ""Pontchartrain"", at Ocean Station November until daybreak after which it made a successful ditching with no casualties. Probable Cause: An initial mechanical failure which precluded feathering the No.1 propeller and a subsequent mechanical failure which resulted in a complete loss of power from the No.4 engine, the effects of which necessitated a ditching. The aircraft was named ""Clipper Sovereign of the Sky."""
1956,Military - Egyptian Air Force,Damascus- Cairo,Curtiss C-46,0,Su-Aab,16,12,4,12,4,16,0,16,the Mediterranean Sea,Shot down by the Israeli Air Force.
1956,Britavia,Tripoli - Blackbushe,Handley Page Hp-1 Hermes,0,G-Aldj,80,74,6,5,2,7,0,7,United Kingdom,While attempting to land the aircraft descended below the ILS glideslope and hit a tree. Using the lights of the airport the captain misjudged the height he was flying.
1956,Braathens,Trondheim - Oslo,De Havilland Dh-114 Heron 2B,0,Ln-Sur,12,10,2,1,1,2,0,2,Norway,"The aircraft took off, experienced icing, lost altitude and crashed into Hommelfjell Mountain. Unusually heavy icing which the aircraft encountered. Severe downdraft immediately prior to the crash may have been a contributing factor."
1956,Aerovias Guest,Tocumen - Guatemala City,Douglas C-54A-10-Dc,0,Xa-Heg,25,20,5,20,5,25,0,25,Nicaragua,An unsuccessful belly landing was attempted on flat terrain following a fire in the fuel system.
